Iteracion 	 mejor fitness encontrado 
0	4244
1	3959
2	3959
3	3959
4	3959
5	3959
6	3959
7	3859
8	3513
9	3449
10	3449
11	3449
12	3449
13	3449
14	3184
15	3184
16	3184
17	3184
18	3184
19	3160
20	3160
21	3160
22	3160
23	3160
24	3160
25	3107
26	3107
27	3107
28	3020
29	3020
30	3020
31	3020
32	3001
33	3001
34	3001
35	3001
36	2957
37	2957
38	2957
39	2947
40	2947
41	2947
42	2947
43	2947
44	2947
45	2947
46	2947
47	2823
48	2823
49	2823
50	2823
51	2823
52	2823
53	2823
54	2823
55	2823
56	2823
57	2823
58	2823
59	2823
60	2823
61	2823
62	2823
63	2823
64	2823
65	2823
66	2823
67	2823
68	2823
69	2823
70	2823
71	2823
72	2823
73	2823
74	2823
75	2823
76	2823
77	2823
78	2823
79	2823
80	2823
81	2823
82	2823
83	2823
84	2823
85	2823
86	2823
87	2823
88	2823
89	2823
90	2823
91	2823
92	2823
93	2823
94	2823
95	2823
96	2823
97	2823
98	2823
99	2823
100	2823
101	2823
102	2823
103	2823
104	2823
105	2823
106	2823
107	2823
108	2823
109	2823
110	2823
111	2823
112	2823
113	2823
114	2823
115	2823
116	2823
117	2823
118	2823
119	2823
120	2823
121	2823
122	2823
123	2823
124	2823
125	2823
126	2823
127	2823
128	2823
129	2823
130	2823
131	2823
132	2823
133	2823
134	2823
135	2823
136	2823
137	2823
138	2823
139	2823
140	2823
141	2823
142	2823
143	2823
144	2823
145	2823
146	2823
147	2823
148	2823
149	2823
150	2823
151	2823
152	2823
153	2823
154	2823
155	2823
156	2823
157	2823
158	2823
159	2823
160	2823
161	2823
162	2823
163	2823
164	2823
165	2823
166	2823
167	2823
168	2823
169	2823
170	2823
171	2823
172	2823
173	2823
174	2823
175	2823
176	2823
177	2823
178	2823
179	2823
180	2823
181	2823
182	2823
183	2823
184	2823
185	2823
186	2823
187	2823
188	2823
189	2823
190	2823
191	2823
192	2823
193	2823
194	2823
195	2823
196	2823
197	2823
198	2823
199	2823
